,modelname,manufacturer,category,categoryinfo2,categoryinfo3,Program url
36,Air-Operated Diaphragm Pump Dissectible,DAC Worldwide,DAC Training Systems,Electrical/Electronics,Oil Production,https://tech-labs.com/products/air-operated-diaphragm-pump-dissectible
37,Angled Disc Butterfly Valve Cutaway,DAC Worldwide,DAC Training Systems,Machining & Measurement,"Pumps, Compressors & Valves",https://tech-labs.com/products/angled-disc-butterfly-valve-cutaway
38,Annular Tube Heat Exchanger Model,DAC Worldwide,DAC Training Systems,Mechanical Drives,"Pumps, Compressors & Valves",https://tech-labs.com/products/annular-tube-heat-exchanger-model
39,ANSI Centrifugal Pump Dissectible (Goulds),DAC Worldwide,DAC Sample Boards,Mechanical Drives,Process Control & Instrumentation,https://tech-labs.com/products/ansi-centrifugal-pump-dissectible-goulds
40,Barrel Choke Valve Cutaway,DAC Worldwide,Chemical Engineering,Mechanical Drives,"Pumps, Compressors & Valves",https://tech-labs.com/products/barrel-choke-valve-cutaway
41,Basic Coupling/Shaft Alignment Trainer,DAC Worldwide,DAC Training Systems,DAC Sample Boards,Mechanical Drives Cutaways,https://tech-labs.com/products/basic-couplingshaft-alignment-trainer
42,Basic Coupling/Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,Mechanical Drives,Process Control & Instrumentation,https://tech-labs.com/products/basic-couplingshaft-alignment-training-system-plus
43,Basic PLC Training System – AB Micro850,DAC Worldwide,DAC Training Systems,Mechanical Drives,"Pumps, Compressors & Valves",#N/A
44,Basic Precision Measurement Kit 1,DAC Worldwide,Mechanical Drives,DAC Sample Boards,Oil Production,https://tech-labs.com/products/basic-precision-measurement-kit-1
45,Batch Continuous Distillation,DAC Worldwide,Electrical/Electronics,Fluid Power,"Pumps, Compressors & Valves",https://tech-labs.com/products/batch-continuous-distillation
46,Bearing Maintenance Training System,DAC Worldwide,DAC Training Systems,DAC Cutaways,Oil Production,https://tech-labs.com/products/bearing-maintenance-training-system
47,Bearing Maintenance Training System Plus,DAC Worldwide,Mechanical Drives,Heat Transfer & Steam,Oil Production,https://tech-labs.com/products/bearing-maintenance-training-system-plus
48,Bearing Maintenance Training System Plus,DAC Worldwide,Chemical Engineering,Heat Transfer & Steam,Oil Production,https://tech-labs.com/products/bearing-maintenance-training-system-plus
49,Bearing Sample Board,DAC Worldwide,DAC Cutaways,Mechanical Drives,Oil Production,https://tech-labs.com/products/bearing-sample-board
50,Belt Drive Training System,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Mechanical Drives Cutaways,https://tech-labs.com/products/belt-drive-training-system
51,Belt Drive Training System Plus,DAC Worldwide,DAC Training Systems,Dissectibles,Mechanical Drives,https://tech-labs.com/products/belt-drive-training-system-plus
52,Belt Sample Board,DAC Worldwide,DAC Training Systems,DAC Cutaways,Oil Production,https://tech-labs.com/products/belt-sample-board
53,Benchtop Gas-Liquid Absorption,DAC Worldwide,DAC Training Systems,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/benchtop-gas-liquid-absorption
54,Bladder Accumulator Cutaway,DAC Worldwide,DAC Training Systems,DAC Models,Sample Drives | Mechanical Drives,https://tech-labs.com/products/bladder-accumulator-cutaway
55,Blowout Preventer (BOP) Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Oil Production,https://tech-labs.com/products/blowout-preventer-bop-cutaway
56,Boiler Tube Maintenance Training System Plus,DAC Worldwide,HVAC Training,Mechanical Drives,HVAC Cutaways,https://tech-labs.com/products/boiler-tube-maintenance-training-system-plus
57,Boiler Tube Trainer,DAC Worldwide,Mechanical Drives,DAC Sample Boards,HVAC Cutaways,https://tech-labs.com/products/boiler-tube-trainer
58,Brake Clutch Trainer,DAC Worldwide,DAC Worldwide Training Solutions,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/brake-clutch-trainer
59,Brake Clutch Training System Plus,DAC Worldwide,DAC Training Systems,DAC Cutaways,HVAC Cutaways,https://tech-labs.com/products/brake-clutch-training-system-plus
60,"Canned Sealless, Centrifugal Pump Dissectible",DAC Worldwide,DAC Training Systems,Electrical/Electronics,"Pumps, Compressors & Valves",https://tech-labs.com/products/canned-sealless-centrifugal-pump-dissectible
61,Ceiling Unit Cooler System Cutaway,DAC Worldwide,Mechanical Drives,DAC Models,Mechanical Drives Cutaways,https://tech-labs.com/products/ceiling-unit-cooler-system-cutaway
62,Centrifugal Clutch Cutaway,DAC Worldwide,DAC Cutaways,DAC Models,Mechanical Drives,https://tech-labs.com/products/centrifugal-clutch-cutaway
63,Centrifugal Compressor Model,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,Mechanical Drives Cutaways,https://tech-labs.com/products/centrifugal-compressor-model
64,Chain Drive Training System,DAC Worldwide,DAC Training Systems,DAC Cutaways,Mechanical Drives Cutaways,https://tech-labs.com/products/chain-drive-training-system
65,Chain Drive Training System Plus,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,Mechanical Drives,https://tech-labs.com/products/chain-drive-training-system-plus
66,Chain Sample Board,DAC Worldwide,DAC Worldwide Training Solutions,DAC Sample Boards,Oil Production,https://tech-labs.com/products/chain-sample-board
67,Circuit Breaker Cutaway Set,DAC Worldwide,HVAC Training,Mechanical Drives,Oil Production,https://tech-labs.com/products/circuit-breaker-cutaway-set
68,Clip Valve Cutaway,DAC Worldwide,Chemical Engineering,Mechanical Drives,Oil Production,https://tech-labs.com/products/clip-valve-cutaway
69,"Compound, Cumulatively Wound, DC Motor Training System",DAC Worldwide,HVAC Training,DAC Models,Process Control & Instrumentation,https://tech-labs.com/products/compound-cumulatively-wound-dc-motor-training-system
70,Compressor Inlet Unloader Valve Replica,DAC Worldwide,Chemical Engineering,DAC Cutaways,Oil Production,https://tech-labs.com/products/compressor-inlet-unloader-valve-replica
71,Compressor Outlet Channel Valve Replica,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,"Pumps, Compressors & Valves",https://tech-labs.com/products/compressor-outlet-channel-valve-replica
72,Compressor Service King Valve Cutaway,DAC Worldwide,Chemical Engineering,DAC Cutaways,Electrical/Electronics,https://tech-labs.com/products/compressor-service-king-valve-cutaway
73,Computerized Chemical Reactor,DAC Worldwide,Chemical Engineering,Dissectibles,Oil Production,https://tech-labs.com/products/computerized-chemical-reactor
74,Condenser Pressure Control Valve Cutaway (KVR),DAC Worldwide,Mechanical Drives,Dissectibles,"Pumps, Compressors & Valves",https://tech-labs.com/products/condenser-pressure-control-valve-cutaway-kvr
75,Continuous Distillation,DAC Worldwide,DAC Training Systems,DAC Models,Sample Drives | Mechanical Drives,https://tech-labs.com/products/continuous-distillation
76,Control Valve Dissectible,DAC Worldwide,DAC Training Systems,Dissectibles,Mechanical Drives,https://tech-labs.com/products/control-valve-dissectible
77,Controlled Absorption & Regeneration Unit,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/controlled-absorption-regeneration-unit
78,Controlled Distillation Unit,DAC Worldwide,Mechanical Drives,Electrical/Electronics,Mechanical Drives,https://tech-labs.com/products/controlled-distillation-unit
79,Coupling Sample Board,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,Oil Production,https://tech-labs.com/products/coupling-sample-board
80,Coupling/Shaft Alignment Plus,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,Oil Production,https://tech-labs.com/products/couplingshaft-alignment-plus
81,Coupling/Shaft Alignment Trainer,DAC Worldwide,DAC Worldwide Training Solutions,Electrical/Electronics,Oil Production,https://tech-labs.com/products/couplingshaft-alignment-trainer
82,Crude Oil Desalter Model,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Oil Production,https://tech-labs.com/products/crude-oil-desalter-model
83,Cycloidal Gear Reducer Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,Oil Production,https://tech-labs.com/products/cycloidal-gear-reducer-cutaway
84,Cycloidal Gear Reducer Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,HVAC Cutaways,https://tech-labs.com/products/cycloidal-gear-reducer-dissectible
85,Diaphragm Dump Valve Cutaway,DAC Worldwide,Mechanical Drives,Mechanical Drives,Mechanical Drives,https://tech-labs.com/products/diaphragm-dump-valve-cutaway
86,"Diaphragm Pump, Pulsa Dissectible",DAC Worldwide,DAC Cutaways,Mechanical Drives,Oil Production,https://tech-labs.com/products/diaphragm-pump-pulsa-dissectible
87,"Dissectible Double-Suction, Split-Case Centrifugal Pump",DAC Worldwide,DAC Worldwide Training Solutions,Heat Transfer & Steam,Oil Production,https://tech-labs.com/products/dissectible-double-suction-split-case-centrifugal-pump
88,Distillation Column Model,DAC Worldwide,DAC Worldwide Training Solutions,Heat Transfer & Steam,Oil Production,https://tech-labs.com/products/distillation-column-model
89,Downsized Horizontal Multi-Stage Centrifugal Pump Dissectible,DAC Worldwide,DAC Training Systems,DAC Models,Mechanical Drives Cutaways,https://tech-labs.com/products/downsized-horizontal-multi-stage-centrifugal-pump-dissectible
90,Downsized Right Angle Spiral Bevel Gear Reducer Cutaway,DAC Worldwide,DAC Training Systems,Mechanical Drives,Mechanical Drives,https://tech-labs.com/products/downsized-right-angle-spiral-bevel-gear-reducer-cutaway
91,"Dual Element, Time-Delay Fuse Cutaway",DAC Worldwide,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",Oil Production,https://tech-labs.com/products/dual-element-time-delay-fuse-cutaway
92,Enhanced Control Valve Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",Oil Production,https://tech-labs.com/products/enhanced-control-valve-dissectible
93,Extended Dissectible Valve Assortment,DAC Worldwide,DAC Training Systems,"Pumps, Compressors & Valves",Oil Production,https://tech-labs.com/products/extended-dissectible-valve-assortment
94,Extended PLC Trainer,DAC Worldwide,DAC Training Systems,DAC Models,Process Control & Instrumentation,https://tech-labs.com/products/extended-plc-trainer
95,Extended Vibration Analysis Training System,DAC Worldwide,DAC Models,DAC Cutaways,Electrical / Electronics,https://tech-labs.com/products/extended-vibration-analysis-training-system
96,Extended Wellhead Assembly Cutaway,DAC Worldwide,DAC Models,DAC Models,Oil Production,https://tech-labs.com/products/extended-wellhead-assembly-cutaway
97,External Gear Pump Dissectible,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/external-gear-pump-dissectible
98,Fan Balancing Trainer,DAC Worldwide,DAC Training Systems,DAC Models,Oil Production,https://tech-labs.com/products/fan-balancing-trainer
99,Fan Balancing Training System Plus,DAC Worldwide,DAC Training Systems,Electrical/Electronics,Mechanical Drives Cutaways,https://tech-labs.com/products/fan-balancing-training-system-plus
100,Fire Tube Boiler Model,DAC Worldwide,DAC Training Systems,DAC Models,Mechanical Drives,https://tech-labs.com/products/fire-tube-boiler-model
101,Fired Heater Model,DAC Worldwide,DAC Sample Boards,Dissectibles,Mechanical Drives Cutaways,https://tech-labs.com/products/fired-heater-model
102,Fixed Head Bulk Storage Tank Model,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Mechanical Drives,https://tech-labs.com/products/fixed-head-bulk-storage-tank-model
103,Flange Bolt Torquing,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Mechanical Drives,https://tech-labs.com/products/flange-bolt-torquing
104,Flange Bolt Torquing Trainer,DAC Worldwide,DAC Worldwide Training Solutions,DAC Sample Boards,Oil Production,https://tech-labs.com/products/flange-bolt-torquing-trainer
105,Flange Bolt Torquing Training System Plus,DAC Worldwide,Chemical Engineering,DAC Cutaways,Oil Production,https://tech-labs.com/products/flange-bolt-torquing-training-system-plus
106,Flange Sample Board,DAC Worldwide,Mechanical Drives,Heat Transfer & Steam,HVAC Cutaways,https://tech-labs.com/products/flange-sample-board
107,Flare System Model,DAC Worldwide,DAC Worldwide Training Solutions,Heat Transfer & Steam,"Pumps, Compressors & Valves",https://tech-labs.com/products/flare-system-model
108,Floating Ball Valve Cutaway,DAC Worldwide,DAC Sample Boards,DAC Cutaways,HVAC Cutaways,https://tech-labs.com/products/floating-ball-valve-cutaway
109,Floating Head Bulk Storage Tank Model,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,Mechanical Drives,https://tech-labs.com/products/floating-head-bulk-storage-tank-model
110,Flow of Fluids Unit (Continuous Reactors),DAC Worldwide,Chemical Engineering,DAC Cutaways,Mechanical Drives Cutaways,https://tech-labs.com/products/flow-fluids-unit-continuous-reactors
111,Fluid Coupling Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,DAC Cutaways,Process Control & Instrumentation,https://tech-labs.com/products/fluid-coupling-cutaway
112,Fluid Coupling Replica,DAC Worldwide,DAC Training Systems,"Pumps, Compressors & Valves",HVAC Cutaways,https://tech-labs.com/products/fluid-coupling-replica
113,Fuse Sample Board,DAC Worldwide,DAC Training Systems,Fluid Power,"Pumps, Compressors & Valves",https://tech-labs.com/products/fuse-sample-board
114,Gas Turbine Model,DAC Worldwide,Mechanical Drives,Dissectibles,Heat Transfer & Steam,https://tech-labs.com/products/gas-turbine-model
115,Gas-Liquid Absorption,DAC Worldwide,DAC Worldwide Training Solutions,Fluid Power,"Pumps, Compressors & Valves",https://tech-labs.com/products/gas-liquid-absorption
116,Gate Valve Dissectible,DAC Worldwide,DAC Training Systems,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/gate-valve-dissectible
117,Gear Maintenance Training System,DAC Worldwide,DAC Training Systems,Mechanical Drives Cutaways,Oil Production,https://tech-labs.com/products/gear-maintenance-training-system
118,Gear Maintenance Training System Plus,DAC Worldwide,HVAC Training,Dissectibles,Oil Production,https://tech-labs.com/products/gear-maintenance-training-system-plus
119,Gear Sample Board,DAC Worldwide,HVAC Training,DAC Cutaways,Oil Production,https://tech-labs.com/products/gear-sample-board
120,Hammer Union Cutaway,DAC Worldwide,HVAC Training,DAC Cutaways,Oil Production,https://tech-labs.com/products/hammer-union-cutaway
121,Heat Exchanger Maintenance Training System,DAC Worldwide,HVAC Training,Heat Transfer & Steam,Process Control & Instrumentation,https://tech-labs.com/products/heat-exchanger-maintenance-training-system
122,Heat Exchanger Process Control Trainer,DAC Worldwide,DAC Sample Boards,Electrical/Electronics,Mechanical Drives Cutaways,https://tech-labs.com/products/heat-exchanger-process-control-trainer
123,Heat Pump Reversing Valve Cutaway,DAC Worldwide,DAC Cutaways,Mechanical Drives,"Pumps, Compressors & Valves",https://tech-labs.com/products/heat-pump-reversing-valve-cutaway
124,Hermetic Compressor Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Oil Production,https://tech-labs.com/products/hermetic-compressor-cutaway
125,Hermetic Rotary Compressor Cutaway,DAC Worldwide,DAC Cutaways,Heat Transfer & Steam,Oil Production,https://tech-labs.com/products/hermetic-rotary-compressor-cutaway
126,Hermetic Scroll Refrigeration Compressor Cutaway,DAC Worldwide,Mechanical Drives,DAC Models,Mechanical Drives Cutaways,https://tech-labs.com/products/hermetic-scroll-refrigeration-compressor-cutaway
127,Hose and Coupling Sample Board,,DAC Cutaways,DAC Cutaways,,https://tech-labs.com/products/hose-and-coupling-sample-board
128,Hydraulic Component Cutaway Set,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/hydraulic-component-cutaway-set
129,Hydraulic Diaphragm Pump Dissectible,,Mechanical Drives,DAC Cutaways,,https://tech-labs.com/products/hydraulic-diaphragm-pump-dissectible
130,Hydraulic Manual Flow Control Valve Cutaway,,Mechanical Drives,Mechanical Drives,,https://tech-labs.com/products/hydraulic-manual-flow-control-valve-cutaway
131,In-Line Friction-Type Pneumatic Clutch Cutaway,,DAC Models,Dissectibles,,https://tech-labs.com/products/line-friction-type-pneumatic-clutch-cutaway
132,In-Line Helical Gear Reducer Cutaway,,DAC Cutaways,DAC Models,,https://tech-labs.com/products/line-helical-gear-reducer-cutaway
133,In-Line Helical Gear Reducer Dissectible,,DAC Training Systems,Dissectibles,,https://tech-labs.com/products/line-helical-gear-reducer-dissectible
134,In-Line Multiple-Reduction Helical Gear Reducer Cutaway,,DAC Training Systems,DAC Training Systems,,https://tech-labs.com/products/line-multiple-reduction-helical-gear-reducer-cutaway
135,In-Line Planetary Gear Reducer Cutaway,,DAC Models,DAC Models,,https://tech-labs.com/products/line-planetary-gear-reducer-cutaway
136,Induced Draft Cooling Tower Model,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/induced-draft-cooling-tower-model
137,Industrial Circuit Breaker Cutaway,,DAC Worldwide Training Solutions,Electrical/Electronics,,https://tech-labs.com/products/industrial-circuit-breaker-cutaway
138,Journal and Fluid-Film Bearing Trainer,,DAC Worldwide Training Solutions,DAC Sample Boards,,https://tech-labs.com/products/journal-and-fluid-film-bearing-trainer
139,Journal and Fluid-Film Bearing Training System Plus,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/journal-and-fluid-film-bearing-training-system-plus
140,Kettle Type Reboiler Heat Exchanger Training Model,,DAC Training Systems,Electrical/Electronics,,https://tech-labs.com/products/kettle-type-reboiler-heat-exchanger-training-model
141,Kingsbury Thrust Bearing Model,,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",,https://tech-labs.com/products/kingsbury-thrust-bearing-model
142,Lease Automatic Custody Transfer (LACT) Component Cutaway & Demonstration Package,,DAC Worldwide Training Solutions,Heat Transfer & Steam,,https://tech-labs.com/products/lease-automatic-custody-transfer-lact-component-cutaway-demonstration-package
143,Lever-Operated Dump Valve Cutaway,,DAC Worldwide Training Solutions,Heat Transfer & Steam,,https://tech-labs.com/products/lever-operated-dump-valve-cutaway
144,"Lift Check Valve Cutaway, Oilfield-Type",,Safety Trainers,Dissectibles,,https://tech-labs.com/products/lift-check-valve-cutaway-oilfield-type
145,Linear Drives Training System,,DAC Worldwide Training Solutions,Mechanical Drives Cutaways,,https://tech-labs.com/products/linear-drives-training-system
146,Liquid Level Gauge Sample Dissectible,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/liquid-level-gauge-sample-dissectible
147,LNG Spherical Storage Tank Model,,DAC Cutaways,DAC Cutaways,,https://tech-labs.com/products/lng-spherical-storage-tank-model
148,Lobe Pump Dissectible,,Mechanical Drives,DAC Cutaways,,https://tech-labs.com/products/lobe-pump-dissectible
149,Lock-Out/Tag-Out Training System,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/lock-outtag-out-training-system
150,Low-Temperature Separator Model,,DAC Training Systems,DAC Cutaways,,https://tech-labs.com/products/low-temperature-separator-model
151,Magnetic Drive Centrifugal Pump Dissectible,,DAC Training Systems,DAC Cutaways,,https://tech-labs.com/products/magnetic-drive-centrifugal-pump-dissectible
152,Magnetic Motor Starter Cutaway,,DAC Models,DAC Cutaways,,https://tech-labs.com/products/magnetic-motor-starter-cutaway
153,Mechanical Fasteners Sample Board,,DAC Models,Dissectibles,,https://tech-labs.com/products/mechanical-fasteners-sample-board
154,Mechanical Speed Variator Dissectible,,DAC Worldwide Training Solutions,Electrical/Electronics,,https://tech-labs.com/products/mechanical-speed-variator-dissectible
155,Motor Load Option,,DAC Cutaways,Electrical/Electronics,,https://tech-labs.com/products/motor-load-option
156,Motorized Multi-Turn Valve Actuator Training,,DAC Worldwide Training Solutions,DAC Models,,https://tech-labs.com/products/motorized-multi-turn-valve-actuator-training
157,Multi-Pass Fixed Tube Sheet Heat Exchanger Training Model,,DAC Worldwide Training Solutions,"Pumps, Compressors & Valves",,https://tech-labs.com/products/multi-pass-fixed-tube-sheet-heat-exchanger-training-model
158,Multi-Pass Floating Head Heat Exchanger Training Model,,DAC Worldwide Training Solutions,DAC Models,,https://tech-labs.com/products/multi-pass-floating-head-heat-exchanger-training-model
159,"Multi-Stage, Split Case Pump Dissectible",,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/multi-stage-split-case-pump-dissectible
160,Offset In-Line Helical Gear Reducer Cutaway,,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/offset-line-helical-gear-reducer-cutaway
161,Offset In-Line Helical Gear Reducer Dissectible,,DAC Worldwide Training Solutions,Dissectibles,,https://tech-labs.com/products/offset-line-helical-gear-reducer-dissectible
162,Oil Field Pressure Gauge Cutaway,,HVAC Training,Heat Transfer & Steam,,https://tech-labs.com/products/oil-field-pressure-gauge-cutaway
163,Oil Field Relief Valve Cutaway,,DAC Worldwide Training Solutions,Fluid Power,,https://tech-labs.com/products/oil-field-relief-valve-cutaway
164,Oil Patch Swing Check Valve Cutaway,,DAC Cutaways,DAC Cutaways,,https://tech-labs.com/products/oil-patch-swing-check-valve-cutaway
165,Oilfield Backpressure Regulator Cutaway,,DAC Training Systems,DAC Cutaways,,https://tech-labs.com/products/oilfield-backpressure-regulator-cutaway
166,Oilfield Production Regulator Cutaway (Big Joe),,DAC Worldwide Training Solutions,DAC Cutaways,,https://tech-labs.com/products/oilfield-production-regulator-cutaway-big-joe
167,Open Drive Refrigeration Compressor Cutaway,,DAC Sample Boards,DAC Training Systems,,https://tech-labs.com/products/open-drive-refrigeration-compressor-cutaway
