,modelname,manufacturer,category,programurl,categoryinfo2,categoryinfo3
29,Portable AC Motor Drive Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-ac-motor-drive-learning-system,Electrical,
30,Portable AC Motor Drive Troubleshooting Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-ac-motor-drive-troubleshooting-learning-system,Hydraulics / Pneumatics Trainers,
31,Portable AC/DC Electrical Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-acdc-electrical-learning-system-0,Hydraulics / Pneumatics Trainers,
32,Portable Electric Relay Control Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-electric-relay-control-learning-system,Portable Learning Systems,
33,Portable Electronic Sensors Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-electronic-sensors-learning-system,Mechanical Drives,
34,Portable Motor Control Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-motor-control-learning-system,Hydraulics / Pneumatics Trainers,
35,Portable Motor Control Troubleshooting Learning System,,Portable Learning Systems,https://tech-labs.com/products/portable-motor-control-troubleshooting-learning-system,Electrical,
36,Portable PLC Learning System (Allen-Bradley ControlLogix),,Portable Learning Systems,https://tech-labs.com/products/portable-plc-learning-system-allen-bradley-controllogix,Automation,
37,Portable PLC Troubleshooting Learning System (CompactLogix L16),,Portable Learning Systems,https://tech-labs.com/products/portable-plc-troubleshooting-learning-system-0,Automation,
38,Portable PLC Troubleshooting Learning System - AB CompactLogix,,Portable Learning Systems,https://tech-labs.com/products/portable-plc-troubleshooting-learning-system-ab-compactlogix,Solar Energy,
39,Portable PLC Troubleshooting Learning System Siemens S7-1200,,HVAC Training,https://tech-labs.com/products/portable-plc-troubleshooting-learning-system-siemens-s7-1200,Solar Energy,
40,Portable Pneumatics Learning System,,HVAC Training,https://tech-labs.com/products/portable-pneumatics-learning-system,Wind Energy,
41,Portable Precision Gauging,,Portable Learning Systems,https://tech-labs.com/products/portable-precision-gauging,Wind Energy,
42,Refrigerant Recovery and Charging Learning Systems for R-410a,,Green Energy,https://tech-labs.com/products/refrigerant-recovery-and-charging-learning-systems-r-410a,Programmable Logic Controllers,
43,Residential Mini-Split Heat Pump Learning System,,Advanced Manufacturing,https://tech-labs.com/products/residential-mini-split-heat-pump-learning-system,Wind Energy,
44,Snap Gauge,,e-Learning,https://tech-labs.com/products/snap-gauge,Electronics Trainers,
45,Amatrol Alternative Energy Learning System,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-alternative-energy-learning-system,Oil & Gas,
46,Amatrol Basic Hydraulic Troubleshooting Learning System 950-HTB1,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-basic-hydraulic-troubleshooting-learning-system-950-htb1,Solar Energy,
47,Amatrol e-Learning,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-e-learning,Motor Control,
48,Amatrol Electrical Wiring Learning System,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-electrical-wiring-learning-system,Mechatronics,
49,Amatrol Hydraulic Maintenance Learning System,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-hydraulic-maintenance-learning-system,Industry 4.0,
50,Amatrol Industrial Soldering Learning System 85-MT6BB,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-industrial-soldering-learning-system-85-mt6bb,Oil & Gas,
51,Amatrol Portable Hydraulics Training,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-portable-hydraulics-training,Industry 4.0,
52,Amatrol Portable Measurement Tools Learning System,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-portable-measurement-tools-learning-system,Mechanical Drives,
53,Amatrol Portable Mechanical Drives 1 Learning System 990-ME1,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-portable-mechanical-drives-1-learning-system-990-me1,Industry 4.0,
54,Amatrol Portable Pneumatics Troubleshooting Learning System,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-portable-pneumatics-troubleshooting-learning-system,Solar Energy,
55,Amatrol Portable Power and Control Electronics Learning System,,Green Energy,https://tech-labs.com/products/amatrol-portable-power-and-control-electronics-learning-system,Wind Energy,
56,Amatrol Skill Boss Logistics,,Green Energy,https://tech-labs.com/products/amatrol-skill-boss-logistics,,
57,Amatrol Smart Factory Enterprise,,Mechatronics,https://tech-labs.com/products/amatrol-smart-factory-enterprise,,
58,Amatrol Solar PV Troubleshooting Learning System,,Green Energy,https://tech-labs.com/products/amatrol-solar-pv-troubleshooting-learning-system,,
59,Amatrol Solar Thermal Open-Loop Troubleshooting Learning System,,Green Energy,https://tech-labs.com/products/amatrol-solar-thermal-open-loop-troubleshooting-learning-system,,
60,Amatrol Tabletop Mechatronics,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-tabletop-mechatronics,,
61,Amatrol Turbine Electric Hub Troubleshooting Learning System,,e-Learning,https://tech-labs.com/products/amatrol-turbine-electric-hub-troubleshooting-learning-system,,
62,Amatrol Turbine Nacelle Troubleshooting,,Green Energy,https://tech-labs.com/products/amatrol-turbine-nacelle-troubleshooting,,
63,Amatrol VFD/PLC Wiring Learning System 85-MT6BA,,Oil & Gas,https://tech-labs.com/products/amatrol-vfdplc-wiring-learning-system-85-mt6ba,,
64,Amatrol Virtual Trainers,,Advanced Manufacturing,https://tech-labs.com/products/amatrol-virtual-trainers,,
65,Amatrol Wind Turbine Generator Control System,,HVAC Training,https://tech-labs.com/products/amatrol-wind-turbine-generator-control-system,,
66,Amatrol Workforce Training: Oil & Gas Maintenance,,Oil & Gas,https://tech-labs.com/products/amatrol-workforce-training-oil-gas-maintenance,,
67,Amatrol's Electronics Training Systems,,Green Energy,https://tech-labs.com/products/amatrols-electronics-training-systems,,
68,Amatrol's Thermal Training Systems,,Advanced Manufacturing,https://tech-labs.com/products/amatrols-thermal-training-systems,,
69,Amatrol's Workplace Effectiveness Training,,Automation,https://tech-labs.com/products/amatrols-workplace-effectiveness-training,,
70,Closed-Loop Solar Thermal Troubleshooting Training,,e-Learning,https://tech-labs.com/products/closed-loop-solar-thermal-troubleshooting-training,,
71,Electric Motor Control Learning System,,Safety Trainers,https://tech-labs.com/products/electric-motor-control-learning-system,,
72,Fanuc Robot Integration Package,,Advanced Manufacturing,https://tech-labs.com/products/fanuc-robot-integration-package,,
73,IGNITE: Mastering Manufacturing,,Advanced Manufacturing,https://tech-labs.com/products/ignite-mastering-manufacturing,,
74,Industrial Workplace Safety Training,,Advanced Manufacturing,https://tech-labs.com/products/industrial-workplace-safety-training,,
75,Industry 4.0 Fundamentals (I4F),,HVAC Training,https://tech-labs.com/products/industry-40-fundamentals-i4f,,
76,Mechanical Drives Learning Systems,,HVAC Training,https://tech-labs.com/products/mechanical-drives-learning-systems,,
77,NIMS Industrial Technology Maintenance (ITM),,Advanced Manufacturing,https://tech-labs.com/products/nims-industrial-technology-maintenance-itm,,
78,Refrigerant Recovery and Charging Learning Systems for R-134a,,Green Energy,https://tech-labs.com/products/refrigerant-recovery-and-charging-learning-systems-r-134a,,
79,Residential Heat Pump Troubleshooting Training System,,Welding,https://tech-labs.com/products/residential-heat-pump-troubleshooting-training-system,,
80,Smart Factory Training,,Green Energy,https://tech-labs.com/products/smart-factory-training,,
81,Solar Concepts Learning System,,,https://tech-labs.com/products/solar-concepts-learning-system,,
82,Welding Technology Learning System,,,https://tech-labs.com/products/welding-technology-learning-system,,
83,Wind Concepts Learning System,,,https://tech-labs.com/products/wind-concepts-learning-system,,
